CODICE;CODICEREGIONE;STRUTTURA;TIPO;Comune;Indirizzo
23788;043042-APA-00199;SIMONETTI MARCO APPARTAMENTO PIANO 1 SUB. 3;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via G. Garibaldi, 7
23789;043042-APA-00200;SIMONETTI MARCO APPARTAMENTO PIANO TERRA SUB. 2;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via G. Garibaldi, 7
23884;043042-APA-00201;AMICHETTI DANIELE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Viale Europa, snc
24011;043042-APA-00202;PIRANI ELISABETTA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Viale Cristoforo Colombo, 81
24033;043042-APA-00203;SILVESTRI GIORGIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Fratelli Bandiera Primo Piano, 5
24066;043042-APA-00204;ANTOLINI ELEONORA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Cristoforo Colombo, 100
24109;043042-APA-00205;SABBATINI DANIELA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Paradiso Azzurro- piano secondo, 1
24124;043042-APA-00206;TARPANI SIMONA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Viale C. Colombo, 100
24163;043042-APA-00207;CLARE HOUSE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Viale dei Pini, 18/D
24219;043042-APA-00208;LATEANO CHIARA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Volta, 3
24310;043042-APA-00209;SERRANGELI ADALBERTO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via F.lli Bandiera, 5
24337;043042-APA-00210;STORANI FRANCO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Biagetti, 1
24338;043042-APA-00211;FAVA FRANCESCO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Falcone e Borsellino, 2/A
24341;043042-APA-00212;MARIANI ROBERTO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Ludovico Scarfiotti, 7
24344;043042-APA-00213;BARTALI LAURA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Viale Scarfiotti piano terra, 1
24349;043042-APA-00214;SPAIRANI CONTARDINA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Dante Alighieri, 2
24421;043042-APA-00215;BIANCO PAOLO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Piazza Brancondi, 48
24466;043042-APA-00216;TOZZI MAURO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via della Repubblica, 1/B
24467;043042-APA-00217;LUCHETTI MIRELLA APPARTAMENTO SUB. 44;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Toscanini, 46
24468;043042-APA-00218;LUCHETTI MIRELLA APPARTAMENTO SUB. 37;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Toscanini, 44
24480;043042-APA-00219;SASO MARIELLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Magellano/Pigafetta, 2
24495;043042-APA-00220;PAGGI SIMONETTA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Largo Monte Conero, 1
24518;043042-APA-00221;BRUGNATTI MICHELA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via dell'Industria, 34
24519;043042-APA-00222;MORETTI NICOLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Fratelli Rosselli, 44
24520;043042-APA-00223;APPARTAMENTO CENCI MARIA CRISTINA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via della Repubblica Quarto Piano, 2
24521;043042-APA-00224;SOPRANZETTI LUCIANO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via XV aprile, 7
24522;043042-APA-00225;ESPOSITO ELIDE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Pastrengo, 1/b
24523;043042-APA-00226;LUCIANI CLAUDIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via M. D'Azeglio, 7
24524;043042-APA-00227;FLAMMINI CARLA APPARTAMENTO PIAZZA DEL BORGO SUB. 28;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Piazza del Borgo, 11
24525;043042-APA-00228;ROSSI EUGENIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Piazza del Borgo, 10/C
24526;043042-APA-00229;APPARTAMENTO GUZZINI ETTORE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Falcone e Borsellino, Piano Secondo, 2
24527;043042-APA-00230;CASTELLANI MONICA APPARTAMENTO SUB. 29;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Corso Matteotti, 249
24528;043042-APA-00231;MAGI MARCO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Viale Primo Maggio, 70
24529;043042-APA-00232;APPARTAMENTO MICHELONI DONATELLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via San Giovanni Bosco Piano Terra, 47
24530;043042-APA-00233;FAVA MICHELA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Piazza del Borgo, 10
24531;043042-APA-00234;CASTELLANI MONICA APPARTAMENTO SUB. 30;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Corso Matteotti, 249
24533;043042-APA-00236;APPARTAMENTO MENDELLA MASSIMO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via La Pira Piano Terra, 6
24534;043042-APA-00237;APPARTAMENTO DOMENICHINI MORENO (Sub 9);Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Falcone e Borsellino Piano Terra, Snc
24535;043042-APA-00238;APPARTAMENTO CONTATO PAOLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Dante Alighieri Piano Rialzato, 44
24536;043042-APA-00239;MUCCI ANDREINA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Piazza dell'Approdo, 16
24544;043042-APA-00240;MASCARINI MASSIMILIANO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Piazza del Borgo primo piano, 8
24563;043042-APA-00241;APPARTAMENTO RICCETTI MICHAEL;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Macerata Piano Quarto, 2
24564;043042-APA-00242;Appartamento Jenny Lancellotti;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Giuseppe Garibaldi - piano T 1, 199
24598;043042-APA-00243;APPARTAMENTO POLONARA VALERIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Vasco da Gama Piano Primo, 11
24620;043042-APA-00244;SABBATINI SERENA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Montarice, 68
24672;043042-APA-00245;Appartamento Rita Paolucci;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Piazza del Borgo - Piano Terra, 8/E
24695;043042-APA-00246;Appartamento Carlo Stortoni;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Colombo - piano 2, 81
24741;043042-APA-00247;APPARTAMENTO NATALINI MIRELLA (Sub 53);Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Piazza F.lli Brancondi, 12
24760;043042-APA-00248;MALIZIA MARCO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Paradiso Azzurro, 1
24991;043042-APA-00253;PAOLETTI ANNA LAURA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Scarfiotti, 47
25043;043042-APA-00254;SANTARELLI DANIELE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Viale dei Pini piano quarto, 5
18229;043042-AST-00002;CONERO'S LIFE;Aree di Sosta;PORTO RECANATI;viale Scarfiotti, snc
14951;043042-BeB-00002;B&B SOLELUNA;Bed & Breakfast;PORTO RECANATI;via scossicci, 64
16679;043042-BeB-00005;B&B IL SOL LEONE;Bed & Breakfast;PORTO RECANATI;via degli Orti, 35
15912;043042-BeB-00006;B&B CONERO RANCH;Bed & Breakfast;PORTO RECANATI;c.da Scossicci, 55
15953;043042-BeB-00007;B&B LA TERRAZZA;Bed & Breakfast;PORTO RECANATI;via Nino Bixio, 4
17950;043042-BeB-00011;B&B I CUCALI;Bed & Breakfast;PORTO RECANATI;via Palestro, 39
18040;043042-BeB-00012;B&B UN MARE DI GIOIA;Bed & Breakfast;PORTO RECANATI;Via Gramsci, 75
19106;043042-BeB-00013;BEBE MAR DEL PLATA;Bed & Breakfast;PORTO RECANATI;Via Mar del Plata, 23
19183;043042-BeB-00015;FESTINA LENTE;Bed & Breakfast;PORTO RECANATI;Via San Giovanni Bosco, 89
19184;043042-BeB-00016;LA SCIABBEGA B&B;Bed & Breakfast;PORTO RECANATI;Via E. Gardini, 17
19355;043042-BeB-00017;L'OLIVO;Bed & Breakfast;PORTO RECANATI;Via delle Querce, 40
329;043042-BeB-00018;CRISTINA HIPTING;Bed & Breakfast;PORTO RECANATI;Via Dell'Industria, 34
20989;043042-BeB-00020;A CASA DI ROSY;Bed & Breakfast;PORTO RECANATI;Via Mar del Plata, 2/A
21350;043042-BeB-00021;IL MARE A DUE PASSI;Bed & Breakfast;PORTO RECANATI;Via Cristoforo Colombo n. 17, 1
23052;043042-BeB-00022;LA CASA DEL SOLE;Bed & Breakfast;PORTO RECANATI;Via Giusti, 56
23167;043042-BeB-00023;MARE DiVINO;Bed & Breakfast;PORTO RECANATI;Via Leopardi, 15
23261;043042-BeB-00024;SGUARDO AL CONERO;Bed & Breakfast;PORTO RECANATI;Via Brodolini, 14
24281;043042-BeB-00026;B&B STELLA MARINA;Bed & Breakfast;PORTO RECANATI;Via Martin Luther King, 3
3307;043042-CAM-00001;ADRIATICO;Campeggi;PORTO RECANATI;viale Scarfiotti, 3
3308;043042-CAM-00002;BELLAMARE;Campeggi;PORTO RECANATI;via Scarfiotti, 13
3386;043042-CAM-00004;ARCOBALENO;Campeggi;PORTO RECANATI;viale delle Nazioni, 1
3466;043042-CAM-00005;PARADISE;Campeggi;PORTO RECANATI;santa maria in potenza, 30A
3468;043042-CAM-00006;REGINA 2°;Campeggi;PORTO RECANATI;viale delle Nazioni, 1
3469;043042-CAM-00007;LA MEDUSA;Campeggi;PORTO RECANATI;Lungomare Scarifiotti, snc
3551;043042-CAM-00008;PINETA;Campeggi;PORTO RECANATI;viale della repubblica, 3
13793;043042-CAV-00001;VILLAGGIO DEI TIGLI;Case e appartamenti per vacanze;PORTO RECANATI;via Montarice, 114
14210;043042-CAV-00003;RESIDENCE CASALE DEL CONERO;Case e appartamenti per vacanze;PORTO RECANATI;via scossicci, 32
15049;043042-CAV-00006;LE CASE SUL MARE;Case e appartamenti per vacanze;PORTO RECANATI;viale scarfiotti, 10
18811;043042-CAV-00008;OPERA ARTE SUITE APARTMENTS;Case e appartamenti per vacanze;PORTO RECANATI;Garibaldi, 167
4470;043042-CAV-00009;RESIDENCE HOTEL BIANCHI VINCENZO;Case e appartamenti per vacanze;PORTO RECANATI;via garibaldi, 15
22035;043042-CAV-00011;RESIDENZA LA PIAZZETTA DI MARCO MONALDI;Case e appartamenti per vacanze;PORTO RECANATI;Piazza 5 giornate, snc
22173;043042-CAV-00012;VILLA CHIARA;Case e appartamenti per vacanze;PORTO RECANATI;Via Scossicci, 17
20147;043042-CHT-00001;ORTOPI COUNTRY CANAPA HOUSE;Country house;PORTO RECANATI;Via Scossicci, 36/B
23623;043042-CHT-00002;LA DOLCE VITA DI MALIZIA MARCO;Country house;PORTO RECANATI;Via Scossicci, 50
V00005;043042-LOC-00001;MARTINANGELI  NENELLA - PIANO 3 SUB. 25;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;VIA PIZARRO, 3
V00006;043042-LOC-00002;MARTINANGELI NENELLA - PIANO II  - SUB 20;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;VIA PIZARRO, 2
V00007;043042-LOC-00003;FONTANELLA NADIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;VIA SAN GIOVANNI BOSCO
V00011;043042-LOC-00004;BONTEMPI SILVIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via della Montecatini, 41
V00012;043042-LOC-00005;BONTEMPI SILVIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;PIAZZA DEI MILLE, 4
V00016;043042-LOC-00006;PIERMARINI SANDRA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;VIA GRAMSCI, 73/B
V00018;043042-LOC-00007;VIRGINI ELISA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;VIA PARADISO AZZURRO, 25 - PIANO VII
V00019;043042-LOC-00008;SPINACI ELISA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;V.LE EUROPA, SCN - PIANO II
V00020;043042-LOC-00009;BELLEZZA LORENA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Curtatone, 6
V00021;043042-LOC-00010;LORUSSO ANDREA BENITO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Bramante, 72 - PIANO I
V00027;043042-LOC-00011;PIRRO MATTEO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;C.so Matteotti, 94
V00028;043042-LOC-00012;MATTONI FELICIANO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);PORTO RECANATI;Via Scarfiotti, 47 - PIANO TERRA
14479;043043-AFF-00001;LOCANDA DEL TAVOLO MATTO;Affittacamere;POTENZA PICENA;contrada torrenova, 35
16772;043043-AFF-00002;HOTEL TORRESI AFFITTACAMERE;Affittacamere;POTENZA PICENA;via Strada Regina, 60
845;043043-AFF-00005;FRAL DI BROCCOLO LAMBERTO E C. SNC;Affittacamere;POTENZA PICENA;contrada Torrenova, 14
847;043043-AFF-00006;BORRONI DANTE;Affittacamere;POTENZA PICENA;via aprutina, 37
20234;043043-AFF-00007;LA DIMORA SUL COLLE;Affittacamere;POTENZA PICENA;Via Marsala, 1
21403;043043-AFF-00008;IL NOCETO;Affittacamere;POTENZA PICENA;Contrada Sant'Angelo, snc
23087;043043-AFF-00010;RED HOUSE ACCOMODATION POTENZA PICENA;Affittacamere;POTENZA PICENA;Via San Giovanni, 21
24856;043043-AFF-00012;VASILE MIHAI;Affittacamere;POTENZA PICENA;Contrada Asola - secondo piano, 7
24857;043043-AFF-00013;CARLAN VASILICA EMILIA;Affittacamere;POTENZA PICENA;Contrada Asola - piano primo, 7
25058;043043-AFF-00014;LO SPIAZZALETTO;Affittacamere;POTENZA PICENA;Vico Bocci, 10
14010;043043-AGR-00001;LA CONTRADA DEL RAGLIO;Agriturismi;POTENZA PICENA;contrada altavilla, 2
14011;043043-AGR-00002;AGRITURISMO LE CASTELLA;Agriturismi;POTENZA PICENA;contrada Castelletta, 25
15471;043043-AGR-00004;ANTICO ULIVETO Srl;Agriturismi;POTENZA PICENA;contrada Palazzo Rosso, 1
15587;043043-AGR-00006;IL TRANSUMANTE;Agriturismi;POTENZA PICENA;Contrada Marolino, 3
16373;043043-AGR-00007;AGRITURISMO SOGNO D'ESTATE;Agriturismi;POTENZA PICENA;contrada San Girio, 27/a
22135;043043-AGR-00009;AGRITURISMO LA FONTE DI SAN GIRIO;Agriturismi;POTENZA PICENA;Via San Girio, 49
J00001;043043-AGR-00010;AGRITURISMO ALTAVILLA;Agriturismi;POTENZA PICENA;CONTRADA CARPINETO
11881;043043-ALB-00002;HOTEL TORRESI;Albergo;POTENZA PICENA;Contrada Strada Regina, 60
11882;043043-ALB-00003;STORK;Albergo;POTENZA PICENA;via Dante Alighieri, 57
11885;043043-ALB-00004;LA TERRAZZA;Albergo;POTENZA PICENA;via gioacchino rossini, 86
18647;043043-ALB-00005;HOTEL GALLO di Bindelli Luigi;Albergo;POTENZA PICENA;Piazza Stazione, 13-14
18050;043043-APA-00001;PASQUALI ENZO APPARTAMENTO FOSSO A MARE 32 - SUBALTERNO 1;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Contrada Fosso a Mare, 32
18176;043043-APA-00004;BONIFACIO MARIO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;LIVORNO, 10
18179;043043-APA-00005;PURIFICO MAURIZIO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;LUCANIA, 12
18198;043043-APA-00007;MEZZASOMA RITA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;AMENDOLA, 12/A
18200;043043-APA-00008;LETTINA PAMELA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;IV NOVEMBRE, 9
18623;043043-APA-00009;ALFREDO BOCCACCINI;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Contrada Tergi, 56
18624;043043-APA-00010;GANDOLFI CARLO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Aprutina, 139
18625;043043-APA-00011;FOGLIA LIDA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Duca degli Abruzzi, 104
18626;043043-APA-00012;PALMIERI MANILA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Antonelli e Tebaldi, 46
18728;043043-APA-00017;BARBACCIA FRANCA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Viale Piemonte, 13
18731;043043-APA-00020;NATALINI ROBERTA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Rossini, 91
18739;043043-APA-00022;MARINELLI MARCELLA APP.TO PIANO 1°;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Dante Alighieri, 57
18736;043043-APA-00024;BARTOLINI MARIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Dante Alighieri, 37
18738;043043-APA-00026;MARINELLI MARCELLA APP.TO PIANO 2°;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Dante Alighieri, 57
18912;043043-APA-00028;MERCURI ROSANNA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Lazio, 14
18913;043043-APA-00029;MANZI CONCETTA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 84
18914;043043-APA-00030;FAGIOLI ARMIDA APP.TO VIA BEETHOVEN;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Beethoven, 52
18915;043043-APA-00031;FAGIOLI ARMIDA APP.TO VIA ROSSINI;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Rossini, 5
19112;043043-APA-00036;OMINETTI ROBERTO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Alvata, 192
19171;043043-APA-00037;TURCHI DINO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Marco Polo, 5
19763;043043-APA-00047;CECARINI NAUSICAA - APP.TO PORZ. B;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Tergi, 21
19764;043043-APA-00048;RIBICHINI MARIA GABRIELLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Bellini, 175
19761;043043-APA-00049;FONTI FABIO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Cavour, 28
19762;043043-APA-00050;CECARINI NAUSICAA - APP.TO PORZ. A;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Tergi, 21
19829;043043-APA-00051;SAVORETTI ARMANDO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Lazio, 24
19831;043043-APA-00053;FAVA LUIGI;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Rossini, 5
20350;043043-APA-00056;GHERGO CHIARA APPARTAMENTO SUB. 31;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Puccini, 2
20351;043043-APA-00057;TORREGIANI MORENO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Piacenza, 60
20439;043043-APA-00059;ZACCHETTI MARIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Contrada Asola, 28
20588;043043-APA-00060;APPARTAMENTO PERRINI MOIRA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;VIA PAGANINI, 7
21128;043043-APA-00066;PASQUALI MICHELE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Spontini, 6
21166;043043-APA-00068;SIMONACCI MASSIMO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;della Luna, 7
21168;043043-APA-00070;MANLIO PAPARELLI;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Regina Margherita, 33
21169;043043-APA-00071;BIANCHINI ALESSANDRO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Garibaldi, 29
21170;043043-APA-00072;ANTINOGENE MIRELLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Regina Margherita, 175
21171;043043-APA-00073;VINCENZINA SPINACI;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Regina Margherita, 320/B
21368;043043-APA-00075;PESARESI CRISTIAN;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Contrada Montecanepino, 23/A
21638;043043-APA-00076;BIANCHINI ANNA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Contrada S. Girio, 11/A
21694;043043-APA-00077;FERRETTI FRANCO appartamento 1A - sub. 7;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21695;043043-APA-00078;FERRETTI FRANCO appartamento 2A - sub. 8;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 20
21696;043043-APA-00079;FERRETTI FRANCO appartamento 3A - sub. 9;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21697;043043-APA-00080;FERRETTI FRANCO appartamento 4A - sub. 10;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21698;043043-APA-00081;FERRETTI FRANCO appartamento 5A - sub. 11;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21699;043043-APA-00082;FERRETTI FRANCO appartamento 6A - sub. 12;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21700;043043-APA-00083;FERRETTI FRANCO appartamento 9A - sub. 15;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21701;043043-APA-00084;FERRETTI FRANCO appartamento 10B - sub. 3;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21702;043043-APA-00085;FERRETTI FRANCO appartamento 11B - sub. 4;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21703;043043-APA-00086;FERRETTI FRANCO appartamento 12B - sub. 5;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21704;043043-APA-00087;FERRETTI FRANCO appartamento 13B - sub. 6;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21705;043043-APA-00088;FERRETTI FRANCO appartamento 14B - sub. 7;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21706;043043-APA-00089;FERRETTI FRANCO appartamento 15B - sub. 8;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21707;043043-APA-00090;FERRETTI FRANCO appartamento 16B - sub. 9;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 50
21815;043043-APA-00091;SAMPAOLO ALESSANDRA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Aldo Moro, 55
21816;043043-APA-00092;PAOLUCCI SERGIO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Trieste, 42
21961;043043-APA-00094;PASQUALI ENZO APPARTAMENTO FOSSO A MARE 29;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Fosso a Mare, 29
22043;043043-APA-00096;GHERGO CHIARA APPARTAMENTO SUB. 14;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Puccini, 2
22191;043043-APA-00097;PASQUALI ENZO APPARTAMENTO FOSSO A MARE 32 - SUBALTERNO 2;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Fosso a Mare, 32
22384;043043-APA-00098;APPARTAMENTO AGOSTINACCHIO GAETANO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Contrada Tergi San Girio (1,2,T)
22512;043043-APA-00100;MAZZONI GABRIELE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Cavour, 1
22519;043043-APA-00101;DI CHIARA ROBERTA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Viale Regina Margherita, 138
22587;043043-APA-00102;ANGELETTI PAOLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Via Gramsci, 84
22633;043043-APA-00103;VENEZIANO GIUSEPPE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Viale Regina Margherita, 21
22635;043043-APA-00104;GIAMPAOLI LORENZO APPARTAMENTO SUB. 4;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Contrada Alvata, 10
22636;043043-APA-00105;GIAMPAOLI LORENZO APPARTAMENTO SUB. 3;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);POTENZA PICENA;Contrada Alvata, 10
